OrderID,CustomerID,OrderDateTime,ProductID,Quantity,TotalAmount,StoreID,OrderStatus,ExpectedDeliveryTime,ActualDeliveryTime
3001,6001,2025-01-22 20:02:03.428463,1025,2,90,2051,Delivered,2025-01-22 20:12:03.428463,2025-01-22 20:27:03.428463
3002,6002,2025-02-18 15:58:03.428463,1027,1,99,2084,Delivered,2025-02-18 16:08:03.428463,2025-02-18 16:10:03.428463
3003,6003,2025-02-04 06:58:03.428463,1001,3,780,2008,Delivered,2025-02-04 07:08:03.428463,2025-02-04 07:10:03.428463
3004,6004,2025-02-08 17:00:03.428463,1025,4,180,2008,Delivered,2025-02-08 17:10:03.428463,2025-02-08 17:25:03.428463
3005,6005,2025-02-06 18:43:03.428463,1023,3,405,2071,Delivered,2025-02-06 18:53:03.428463,2025-02-06 19:08:03.428463
3006,6006,2025-02-19 19:56:03.428463,1040,3,480,2045,Delivered,2025-02-19 20:06:03.428463,2025-02-19 20:06:03.428463
3007,6007,2025-02-20 22:31:03.428463,1020,1,160,2056,Delivered,2025-02-20 22:41:03.428463,2025-02-20 22:56:03.428463
3008,6008,2025-02-16 22:16:03.428463,1025,4,180,2081,Delivered,2025-02-16 22:26:03.428463,2025-02-16 22:36:03.428463
3009,6009,2025-02-06 15:58:03.428463,1002,1,40,2075,Delivered,2025-02-06 16:08:03.428463,2025-02-06 16:10:03.428463
3010,6010,2025-01-22 22:55:03.428463,1036,1,65,2020,Delivered,2025-01-22 23:05:03.428463,2025-01-22 23:15:03.428463
3011,6011,2025-01-22 03:12:03.428463,1034,5,1050,2005,Delivered,2025-01-22 03:22:03.428463,2025-01-22 03:27:03.428463
3012,6012,2025-01-24 16:24:03.428463,1019,1,199,2025,Delivered,2025-01-24 16:34:03.428463,2025-01-24 16:36:03.428463
3013,6013,2025-02-04 06:15:03.428463,1023,5,675,2090,Delivered,2025-02-04 06:25:03.428463,2025-02-04 06:40:03.428463
3014,6014,2025-01-24 04:03:03.428463,1009,3,105,2062,Delivered,2025-01-24 04:13:03.428463,2025-01-24 04:18:03.428463
3015,6015,2025-02-09 03:11:03.428463,1028,2,300,2007,Delivered,2025-02-09 03:21:03.428463,2025-02-09 03:31:03.428463
3016,6016,2025-02-12 05:13:03.428463,1013,3,630,2097,Delivered,2025-02-12 05:23:03.428463,2025-02-12 05:33:03.428463
3017,6017,2025-02-14 06:15:03.428463,1048,1,110,2006,Delivered,2025-02-14 06:25:03.428463,2025-02-14 06:25:03.428463
3018,6018,2025-02-20 23:15:03.428463,1048,3,330,2088,Delivered,2025-02-20 23:25:03.428463,2025-02-20 23:27:03.428463
3019,6019,2025-02-14 03:53:03.428463,1033,5,425,2077,Delivered,2025-02-14 04:03:03.428463,2025-02-14 04:08:03.428463
3020,6020,2025-02-08 00:49:03.428463,1002,3,120,2011,Delivered,2025-02-08 00:59:03.428463,2025-02-08 01:09:03.428463
3021,6021,2025-01-31 02:30:03.428463,1035,2,180,2010,Delivered,2025-01-31 02:40:03.428463,2025-01-31 02:45:03.428463
3022,6022,2025-02-06 04:48:03.428463,1015,3,345,2028,Delivered,2025-02-06 04:58:03.428463,2025-02-06 05:00:03.428463
3023,6023,2025-02-15 07:37:03.428463,1044,1,170,2068,Delivered,2025-02-15 07:47:03.428463,2025-02-15 07:52:03.428463
3024,6024,2025-02-04 03:32:03.428463,1044,4,680,2064,Delivered,2025-02-04 03:42:03.428463,2025-02-04 03:44:03.428463
3025,6025,2025-02-08 20:29:03.428463,1003,3,765,2028,Delivered,2025-02-08 20:39:03.428463,2025-02-08 20:54:03.428463
3026,6026,2025-02-18 05:16:03.428463,1027,4,396,2041,Delivered,2025-02-18 05:26:03.428463,2025-02-18 05:36:03.428463
3027,6027,2025-01-26 16:25:03.428463,1008,5,750,2089,Delivered,2025-01-26 16:35:03.428463,2025-01-26 16:40:03.428463
3028,6028,2025-02-19 20:00:03.428463,1019,2,398,2059,Delivered,2025-02-19 20:10:03.428463,2025-02-19 20:15:03.428463
3029,6029,2025-02-08 18:29:03.428463,1032,2,640,2026,Delivered,2025-02-08 18:39:03.428463,2025-02-08 18:39:03.428463
3030,6030,2025-01-31 17:39:03.428463,1018,3,570,2095,Delivered,2025-01-31 17:49:03.428463,2025-01-31 17:51:03.428463
3031,6031,2025-02-15 03:37:03.428463,1002,2,80,2022,Delivered,2025-02-15 03:47:03.428463,2025-02-15 03:52:03.428463
3032,6032,2025-01-23 18:08:03.428463,1038,3,270,2027,Delivered,2025-01-23 18:18:03.428463,2025-01-23 18:18:03.428463
3033,6033,2025-01-28 17:19:03.428463,1007,5,100,2078,Delivered,2025-01-28 17:29:03.428463,2025-01-28 17:44:03.428463
3034,6034,2025-02-06 18:20:03.428463,1016,1,150,2067,Delivered,2025-02-06 18:30:03.428463,2025-02-06 18:32:03.428463
3035,6035,2025-01-29 16:04:03.428463,1016,3,450,2023,Delivered,2025-01-29 16:14:03.428463,2025-01-29 16:29:03.428463
3036,6036,2025-02-14 04:18:03.428463,1012,5,900,2092,Delivered,2025-02-14 04:28:03.428463,2025-02-14 04:30:03.428463
3037,6037,2025-02-15 22:32:03.428463,1037,5,1750,2085,Delivered,2025-02-15 22:42:03.428463,2025-02-15 22:52:03.428463
3038,6038,2025-02-17 17:50:03.428463,1002,4,160,2019,Delivered,2025-02-17 18:00:03.428463,2025-02-17 18:02:03.428463
3039,6039,2025-02-17 17:13:03.428463,1005,3,540,2049,Delivered,2025-02-17 17:23:03.428463,2025-02-17 17:25:03.428463
3040,6040,2025-02-12 15:46:03.428463,1004,4,112,2065,Delivered,2025-02-12 15:56:03.428463,2025-02-12 16:01:03.428463
3041,6041,2025-01-30 21:03:03.428463,1032,1,320,2003,Delivered,2025-01-30 21:13:03.428463,2025-01-30 21:15:03.428463
3042,6042,2025-01-31 15:00:03.428463,1020,4,640,2009,Delivered,2025-01-31 15:10:03.428463,2025-01-31 15:20:03.428463
3043,6043,2025-02-14 16:17:03.428463,1005,5,900,2094,Delivered,2025-02-14 16:27:03.428463,2025-02-14 16:37:03.428463
3044,6044,2025-02-17 19:25:03.428463,1000,5,360,2095,Delivered,2025-02-17 19:35:03.428463,2025-02-17 19:35:03.428463
3045,6045,2025-01-23 05:09:03.428463,1045,2,160,2019,Delivered,2025-01-23 05:19:03.428463,2025-01-23 05:19:03.428463
3046,6046,2025-01-25 23:21:03.428463,1007,2,40,2097,Delivered,2025-01-25 23:31:03.428463,2025-01-25 23:36:03.428463
3047,6047,2025-01-22 16:31:03.428463,1006,5,70,2018,Delivered,2025-01-22 16:41:03.428463,2025-01-22 16:43:03.428463
3048,6048,2025-02-03 16:11:03.428463,1037,4,1400,2061,Delivered,2025-02-03 16:21:03.428463,2025-02-03 16:26:03.428463
3049,6049,2025-02-06 16:22:03.428463,1020,1,160,2009,Delivered,2025-02-06 16:32:03.428463,2025-02-06 16:34:03.428463
3050,6050,2025-02-04 22:17:03.428463,1012,4,720,2066,Delivered,2025-02-04 22:27:03.428463,2025-02-04 22:29:03.428463
3051,6051,2025-02-02 21:40:03.428463,1028,4,600,2046,Delivered,2025-02-02 21:50:03.428463,2025-02-02 21:50:03.428463
3052,6052,2025-02-11 06:14:03.428463,1042,1,180,2054,Delivered,2025-02-11 06:24:03.428463,2025-02-11 06:34:03.428463
3053,6053,2025-02-09 19:35:03.428463,1003,5,1275,2079,Delivered,2025-02-09 19:45:03.428463,2025-02-09 19:45:03.428463
