InventoryID,StoreID,ProductID,StockQuantity,ReorderLevel,LastUpdated
20001000,2000,1000,379,100,2025-02-19 08:46:07.994229
20011000,2001,1000,886,100,2025-02-19 08:46:07.994299
20021000,2002,1000,276,100,2025-02-19 08:46:07.994351
20031000,2003,1000,675,100,2025-02-18 08:46:07.994402
20041000,2004,1000,156,100,2025-02-20 08:46:07.994455
20051000,2005,1000,869,100,2025-02-17 08:46:07.994506
20061000,2006,1000,643,100,2025-02-19 08:46:07.994557
20071000,2007,1000,454,100,2025-02-20 08:46:07.994609
20081000,2008,1000,541,100,2025-02-18 08:46:07.994661
20091000,2009,1000,126,100,2025-02-20 08:46:07.994711
20101000,2010,1000,228,100,2025-02-20 08:46:07.994760
20111000,2011,1000,911,100,2025-02-19 08:46:07.994815
20121000,2012,1000,932,100,2025-02-18 08:46:07.994880
20131000,2013,1000,71,100,2025-02-19 08:46:07.994941
20141000,2014,1000,623,100,2025-02-19 08:46:07.995005
20151000,2015,1000,539,100,2025-02-19 08:46:07.995070
20161000,2016,1000,690,100,2025-02-18 08:46:07.995122
20171000,2017,1000,814,100,2025-02-19 08:46:07.995194
20181000,2018,1000,694,100,2025-02-17 08:46:07.995283
20191000,2019,1000,517,100,2025-02-20 08:46:07.995337
20201000,2020,1000,171,100,2025-02-20 08:46:07.995400
20211000,2021,1000,915,100,2025-02-20 08:46:07.995473
20221000,2022,1000,95,100,2025-02-20 08:46:07.995524
20231000,2023,1000,562,100,2025-02-17 08:46:07.995573
20241000,2024,1000,522,100,2025-02-18 08:46:07.995622
20251000,2025,1000,392,100,2025-02-20 08:46:07.995679
20261000,2026,1000,248,100,2025-02-17 08:46:07.995742
20271000,2027,1000,613,100,2025-02-18 08:46:07.995793
20281000,2028,1000,373,100,2025-02-19 08:46:07.995843
20291000,2029,1000,927,100,2025-02-19 08:46:07.995903
20301000,2030,1000,282,100,2025-02-19 08:46:07.995964
20311000,2031,1000,807,100,2025-02-19 08:46:07.996023
20321000,2032,1000,65,100,2025-02-20 08:46:07.996089
20331000,2033,1000,922,100,2025-02-18 08:46:07.996151
20341000,2034,1000,791,100,2025-02-20 08:46:07.996210
